DB (t),VEIPX US Equity,LCEAX US Equity,FLGEX US Equity,TRMCX US Equity,SPY US Equity,SPYV US Equity,SPYG US Equity
1/2/13,24.7,13.79,11.37,24.54,146.06,73.67,67.24
1/3/13,24.65,13.78,11.34,24.59,145.7341,73.8799,67.01
1/4/13,24.76,13.87,11.37,24.81,146.37,74.05,67.21
1/7/13,24.66,13.82,11.33,24.64,145.9695,73.8999,67.06
1/8/13,24.57,13.76,11.32,24.58,145.5496,73.56,66.9792
1/9/13,24.66,13.8,11.37,24.64,145.92,73.64,67.1099
1/10/13,24.85,13.85,11.44,24.76,147.08,74.428,67.55
1/11/13,24.89,13.83,11.45,24.79,147.07,74.35,67.6299
1/14/13,24.91,13.84,11.43,24.8,146.97,74.25,67.39
1/15/13,24.95,13.89,11.43,24.92,147.07,74.38,67.331
1/16/13,24.9,13.87,11.45,24.86,147.05,74.654,67.516
1/17/13,25.12,14,11.52,25.05,148,75.13,67.964
1/18/13,25.18,14.04,11.54,25.15,148.33,75.4,67.8004
1/22/13,25.29,14.09,11.58,25.36,149.13,75.916,68.064
1/23/13,25.28,14.08,11.63,25.28,149.37,75.8939,68.2728
1/24/13,25.38,14.12,11.59,25.29,149.41,76.34,68.11
1/25/13,25.52,14.18,11.63,25.34,150.25,76.5544,68.472
1/28/13,25.47,14.15,11.61,25.31,150.07,76.58,68.35
1/29/13,25.64,14.2,11.66,25.43,150.66,77.05,68.6201
1/30/13,25.54,14.19,11.62,25.37,150.07,76.72,68.36
1/31/13,25.45,14.16,11.6,25.44,149.7,76.66,68.134
2/1/13,25.66,14.28,11.71,25.67,151.24,77.4399,68.78
2/4/13,25.4,14.14,11.58,25.45,149.535,76.73,67.87
2/5/13,25.63,14.28,11.7,25.66,151.05,77.4,68.762
2/6/13,25.65,14.3,11.7,25.78,151.16,77.29,68.71
2/7/13,25.59,14.27,11.7,25.77,150.96,77.19,68.52
2/8/13,25.7,14.32,11.78,25.93,151.8,77.39,69.152
2/11/13,25.7,14.32,11.78,25.9,151.77,77.54,69.139
2/12/13,25.77,14.4,11.76,26.03,152.02,77.78,69.1779
2/13/13,25.8,14.42,11.76,26.08,152.151,77.8,69.108
2/14/13,25.83,14.42,11.78,26.04,152.29,78.0778,69.2
2/15/13,25.82,14.42,11.78,26.06,152.11,77.71,69.099
2/19/13,26.06,14.5,11.85,26.25,153.25,78.264,69.661
2/20/13,25.85,14.37,11.71,25.88,151.34,77.53,68.85
2/21/13,25.72,14.29,11.64,25.69,150.42,77.194,68.46
2/22/13,25.94,14.43,11.74,25.93,151.89,77.4501,68.762
2/25/13,25.5,14.22,11.56,25.44,149,76.27,67.81
2/26/13,25.64,14.3,11.63,25.56,150.02,76.63,68.23
2/27/13,25.97,14.46,11.77,25.85,151.91,77.65,69.147
2/28/13,25.98,14.47,11.77,25.84,151.61,77.49,68.94
3/1/13,26.02,14.51,11.8,25.84,152.11,77.73,69.26
3/4/13,26.16,14.58,11.85,25.89,152.92,77.95,69.544
3/5/13,26.37,14.69,11.97,26.14,154.29,78.8,70.25
3/6/13,26.4,14.7,11.96,26.2,154.5,79.0899,70.3
3/7/13,26.42,14.74,11.98,26.32,154.776,79.22,70.47
3/8/13,26.5,14.82,12.04,26.47,155.44,79.56,70.71
3/11/13,26.57,14.87,12.07,26.54,156.03,79.88,70.8698
3/12/13,26.56,14.85,12.04,26.54,155.68,79.73,70.71
3/13/13,26.6,14.92,12.06,26.61,155.905,79.96,70.84
3/14/13,26.74,14.98,12.12,26.8,156.73,80.46,71.07
3/15/13,26.67,14.95,12.1,26.75,155.83,79.962,70.75
3/18/13,26.52,14.88,12.06,26.62,154.97,79.3,70.5
3/19/13,26.52,14.91,12.04,26.58,154.61,79.05,70.231
3/20/13,26.7,15.04,12.12,26.8,155.69,79.688,70.824
3/21/13,26.5,14.87,12.03,26.56,154.359,79.124,70.218
3/22/13,26.69,14.95,12.12,26.66,155.6,79.45,70.76
3/25/13,26.6,14.92,12.09,26.61,154.95,79.2701,70.4968
3/26/13,26.8,15.05,12.19,26.77,156.19,79.76,71.14
3/27/13,26.59,15.04,12.19,26.8,156.19,79.69,71.102
3/28/13,26.7,15.13,12.24,26.94,156.67,80.007,71.33
4/1/13,26.65,15.04,12.17,26.73,156.05,79.879,70.906
4/2/13,26.78,15.08,12.22,26.65,156.82,80.09,71.4
4/3/13,26.56,14.94,12.11,26.27,155.23,79.356,70.672
4/4/13,26.69,15,12.16,26.41,155.86,79.65,70.772
4/5/13,26.58,14.95,12.1,26.37,155.158,79.4,70.5523
4/8/13,26.71,15.07,12.17,26.57,156.21,79.96,70.72
4/9/13,26.81,15.09,12.2,26.64,156.75,80.4699,71.25
4/10/13,27.12,15.24,12.36,26.94,158.67,81.24,72.229
4/11/13,27.23,15.29,12.39,27.07,159.19,81.4101,72.4201
4/12/13,27.18,15.25,12.14,26.91,158.8,81.17,72.2854
4/15/13,26.62,14.94,11.86,26.13,155.118,79.39,71.0199
4/16/13,26.93,15.11,12.04,26.45,157.41,80.21,71.8245
4/17/13,26.6,14.93,11.87,26.03,155.11,79.046,70.8475
4/18/13,26.52,14.88,11.79,25.96,154.14,78.8199,70.24
4/19/13,26.77,15.08,11.9,26.19,155.48,79.3002,70.98
4/22/13,26.88,15.11,11.98,26.24,156.17,79.53,71.519
4/23/13,27.15,15.27,12.1,26.43,157.78,80.18,71.5101
4/24/13,27.14,15.26,12.08,26.63,157.88,80.6,72.07
4/25/13,27.2,15.32,12.14,26.78,158.52,80.95,72.4
4/26/13,27.18,15.27,12.12,26.72,158.24,80.93,72.231
4/29/13,27.39,15.37,12.22,26.92,159.3,81.42,72.752
4/30/13,27.41,15.38,12.28,27.05,159.68,81.429,72.712
5/1/13,27.14,15.27,12.17,26.72,158.28,80.95,72.19
5/2/13,27.32,15.34,12.3,26.92,159.75,81.3499,73.06
5/3/13,27.56,15.47,12.43,27.21,161.368,82.22,73.84
5/6/13,27.54,15.45,12.46,27.28,161.78,82.35,74.0162
5/7/13,27.71,15.56,12.52,27.44,162.5999,82.86,74.2201
5/8/13,27.84,15.58,12.57,27.56,163.34,83.25,74.616
5/9/13,27.71,15.51,12.53,27.46,162.881,83,74.391
5/10/13,27.78,15.6,12.58,27.59,163.41,83.01,74.88
5/13/13,27.8,15.6,12.57,27.5,163.54,83.03,74.8896
5/14/13,28.06,15.77,12.7,27.8,165.23,84.02,75.55
5/15/13,28.25,15.88,12.76,27.93,166.115,84.2844,75.9499
5/16/13,28.16,15.79,12.7,27.83,165.34,84.176,75.64
5/17/13,28.4,15.94,12.84,28.09,166.94,85.1543,76.1501
5/20/13,28.37,15.88,12.82,28.13,166.93,85.1871,76.07
5/21/13,28.47,15.89,12.83,28.2,167.17,85.34,76.3
5/22/13,28.29,15.75,12.73,27.86,165.93,84.61,75.569
5/23/13,28.2,15.71,12.71,27.9,165.45,84.4596,75.4899
5/24/13,28.19,15.71,12.7,27.81,165.308,84.3061,75.218
5/28/13,28.33,15.79,12.79,27.99,166.3,84.65,75.8035
5/29/13,28.08,15.63,12.68,27.74,165.22,84.61,75.202
5/30/13,28.17,15.67,12.72,27.91,165.83,84.8,75.506
5/31/13,27.77,15.47,12.57,27.62,163.445,84.099,74.35
6/3/13,27.99,15.52,12.62,27.7,164.35,83.96,74.85
6/4/13,27.89,15.46,12.55,27.55,163.56,83.594,74.5
6/5/13,27.52,15.27,12.38,27.17,161.272,82.43,73.38
6/6/13,27.73,15.38,12.48,27.39,162.73,83.052,73.868
6/7/13,28.03,15.56,12.65,27.73,164.8,84.33,74.95
6/10/13,28.05,15.56,12.64,27.75,164.8,84.43,74.87
6/11/13,27.81,15.43,12.53,27.44,163.098,83.5399,74.13
6/12/13,27.61,15.33,12.41,27.2,161.75,82.9301,73.47
6/13/13,28.02,15.55,12.57,27.61,164.21,84.1885,74.428
6/14/13,27.88,15.46,12.52,27.48,163.175,83.7,74.21
6/17/13,28.09,15.57,12.59,27.73,164.44,84.24,74.73
6/18/13,28.28,15.67,12.69,27.86,165.735,84.78,75.2585
6/19/13,27.86,15.44,12.52,27.49,163.45,83.8121,74.41
6/20/13,27.18,15.07,12.2,26.82,159.4,81.7699,72.428
6/21/13,27.29,15.15,12.2,26.87,159.07,81.48,72.24
6/24/13,26.99,15.04,12.06,26.57,157.06,80.47,71.5395
6/25/13,27.22,15.16,12.16,26.82,158.575,81.43,72.12
6/26/13,27.54,15.29,12.28,26.92,160.14,82.08,72.7601
6/27/13,27.57,15.39,12.34,27.23,161.08,82.67,73.22
6/28/13,27.45,15.35,12.31,27.26,160.42,82.15,72.66
7/1/13,27.53,15.44,12.38,27.45,161.36,82.68,73.33
7/2/13,27.5,15.43,12.36,27.39,161.21,82.6,73.46
7/3/13,27.53,15.42,12.39,27.35,161.28,82.57,73.5299
7/5/13,27.79,15.56,12.51,27.59,163.02,83.43,74.21
7/8/13,27.96,15.65,12.58,27.75,163.945,84.039,74.391
7/9/13,28.15,15.75,12.65,27.97,165.13,84.69,74.97
7/10/13,28.17,15.77,12.68,27.99,165.192,84.6,75.13
7/11/13,28.54,15.94,12.88,28.31,167.44,85.7,76.35
7/12/13,28.58,15.97,12.91,28.4,167.51,85.8337,76.42
7/15/13,28.65,16.03,12.93,28.51,168.155,86.1165,76.4901
7/16/13,28.56,15.96,12.89,28.41,167.525,85.73,76.2
7/17/13,28.6,15.98,12.92,28.44,167.9501,85.9156,76.53
7/18/13,28.73,16.09,12.94,28.63,168.87,86.702,76.66
7/19/13,28.77,16.12,12.92,28.73,169.17,86.92,76.67
7/22/13,28.81,16.15,12.96,28.79,169.5,87.09,76.819
7/23/13,28.81,16.15,12.92,28.81,169.14,87.19,76.476
7/24/13,28.69,16.06,12.9,28.61,168.52,86.484,76.324
7/25/13,28.75,16.09,12.92,28.77,168.93,86.6643,76.6252
7/26/13,28.75,16.1,12.93,28.81,169.11,86.6744,76.65
7/29/13,28.67,16.06,12.9,28.67,168.59,86.52,76.55
7/30/13,28.68,16.06,12.94,28.71,168.588,86.37,76.7212
7/31/13,28.7,16.07,12.96,28.73,168.71,87.09,76.511
8/1/13,28.97,16.29,13.14,29.06,170.66,87.3501,77.54
8/2/13,28.99,16.31,13.17,29.02,170.95,87.46,77.54
8/5/13,28.9,16.29,13.16,29.04,170.7,87.43,77.57
8/6/13,28.76,16.22,13.06,28.78,169.73,86.8899,77.18
8/7/13,28.69,16.16,13.01,28.61,169.18,86.6,77
8/8/13,28.8,16.24,13.08,28.84,169.8,86.984,77.214
8/9/13,28.73,16.2,13.02,28.81,169.31,86.8183,76.998
8/12/13,28.68,16.14,13.04,28.76,169.111,86.4,76.9
8/13/13,28.73,16.17,13.11,28.72,169.61,86.6401,77.27
8/14/13,28.58,16.1,13.03,28.71,168.74,86.334,76.88
8/15/13,28.18,15.89,12.82,28.37,166.38,85.111,75.716
8/16/13,28.09,15.85,12.79,28.3,165.83,84.906,75.51
8/19/13,27.94,15.75,12.74,28.06,164.77,84.27,75.23
8/20/13,28.01,15.83,12.8,28.32,165.58,84.56,75.4798
8/21/13,27.83,15.69,12.72,28.09,164.56,84.35,75.52
8/22/13,28.05,15.83,12.85,28.35,166.06,84.7099,75.8465
8/23/13,28.25,15.89,12.88,28.4,166.62,85.02,76.07
8/26/13,28.07,15.8,12.85,28.26,166,84.51,75.921
8/27/13,27.68,15.55,12.61,27.77,163.33,83.26,74.56
8/28/13,27.74,15.54,12.64,27.82,163.91,83.649,75.087
8/29/13,27.78,15.6,12.71,27.9,164.17,83.66,75.0901
8/30/13,27.68,15.55,12.64,27.72,163.65,83.31,74.822
9/3/13,27.7,15.57,12.7,27.86,164.39,83.46,75.15
9/4/13,27.88,15.67,12.8,28.1,165.75,84.129,75.821
9/5/13,27.89,15.68,12.84,28.15,165.96,84.3842,75.8701
9/6/13,27.9,15.7,12.84,28.25,166.04,84.7799,76.299
9/9/13,28.12,15.81,12.97,28.74,167.634,85.17,76.77
9/10/13,28.36,15.9,13.07,28.91,168.87,85.98,77.156
9/11/13,28.5,15.93,13.11,28.9,169.4,86.215,77.238
9/12/13,28.39,15.89,13.09,28.75,168.95,85.82,77.259
9/13/13,28.52,15.96,13.13,28.88,169.33,86.22,77.429
9/16/13,28.72,16.06,13.21,29.12,170.31,86.776,77.722
9/17/13,28.82,16.13,13.29,29.26,171.07,87.19,78.1112
9/18/13,29.19,16.27,13.42,29.56,173.051,88.12,79.13
9/19/13,29.14,16.11,13.43,29.47,172.76,87.7439,79.174
9/20/13,28.92,16.01,13.34,29.22,170.72,86.6099,78.3976
9/23/13,28.8,15.95,13.3,29.1,169.93,86.13,78.042
