Date,IMAB
1/3/05,973.794
1/4/05,974.279
1/5/05,974.87
1/6/05,975.13
1/7/05,975.713
1/10/05,975.971
1/11/05,976.565
1/12/05,976.973
1/13/05,977.08
1/14/05,978.507
1/17/05,979.119
1/18/05,979.719
1/19/05,980.456
1/20/05,980.778
1/21/05,981.843
1/24/05,982.289
1/25/05,983.25
1/26/05,983.435
1/27/05,983.875
1/28/05,984.935
1/31/05,984.904
2/1/05,985.616
2/2/05,984.659
2/3/05,985.588
2/4/05,985.915
2/9/05,986.45
2/10/05,987.109
2/11/05,986.618
2/14/05,985.11
2/15/05,985.849
2/16/05,986.283
2/17/05,986.628
2/18/05,987.163
2/21/05,988.032
2/22/05,988.156
2/23/05,987.948
2/24/05,989.437
2/25/05,989.856
2/28/05,990.296
3/1/05,990.51
3/2/05,990.497
3/3/05,991.542
3/4/05,992.39
3/7/05,992.607
3/8/05,992.946
3/9/05,993.292
3/10/05,994.155
3/11/05,993.682
3/14/05,993.378
3/15/05,993.726
3/16/05,994.255
3/17/05,994.947
3/18/05,995.531
3/21/05,995.653
3/22/05,995.835
3/23/05,996.251
3/24/05,997.385
3/28/05,997.752
3/29/05,998.572
3/30/05,999.405
3/31/05,1000
4/1/05,1000.61
4/4/05,1001.303
4/5/05,1001.869
4/6/05,1002.671
4/7/05,1003.291
4/8/05,1003.974
4/11/05,1004.611
4/12/05,1005.232
4/13/05,1005.811
4/14/05,1006.423
4/15/05,1006.975
4/18/05,1007.69
4/19/05,1008.343
4/20/05,1008.987
4/22/05,1009.52
4/25/05,1010.185
4/26/05,1010.846
4/27/05,1011.516
4/28/05,1012.861
4/29/05,1013.636
5/2/05,1014.399
5/3/05,1015.064
5/4/05,1015.765
5/5/05,1016.518
5/6/05,1017.334
5/9/05,1018.095
5/10/05,1018.783
5/11/05,1019.892
5/12/05,1020.554
5/13/05,1021.306
5/16/05,1022.148
5/17/05,1022.842
5/18/05,1023.415
5/19/05,1024.075
5/20/05,1024.691
5/23/05,1025.299
5/24/05,1025.917
5/25/05,1026.636
5/27/05,1027.035
5/30/05,1027.715
5/31/05,1028.35
6/1/05,1028.701
6/2/05,1029.273
6/3/05,1029.981
6/6/05,1029.025
6/7/05,1029.602
6/8/05,1030.188
6/9/05,1030.736
6/10/05,1030.763
6/13/05,1031.148
6/14/05,1031.565
6/15/05,1031.877
6/16/05,1031.653
6/17/05,1032.09
6/20/05,1031.875
6/21/05,1032.422
6/22/05,1032.837
6/23/05,1032.942
6/24/05,1032.335
6/27/05,1032.631
6/28/05,1033.053
6/29/05,1033.332
6/30/05,1033.654
7/1/05,1033.872
7/4/05,1033.229
7/5/05,1033.671
7/6/05,1033.231
7/7/05,1033.534
7/8/05,1033.242
7/11/05,1033.587
7/12/05,1033.822
