Date,IMAS
1/3/05,959.083
1/4/05,959.8
1/5/05,960.471
1/6/05,961.13
1/7/05,961.803
1/10/05,962.444
1/11/05,963.098
1/12/05,963.749
1/13/05,964.399
1/14/05,965.048
1/17/05,965.692
1/18/05,966.326
1/19/05,966.968
1/20/05,967.604
1/21/05,968.263
1/24/05,968.898
1/25/05,969.542
1/26/05,970.194
1/27/05,970.84
1/28/05,971.5
1/31/05,972.162
2/1/05,972.82
2/2/05,973.476
2/3/05,974.137
2/4/05,974.793
2/9/05,975.444
2/10/05,976.106
2/11/05,976.776
2/14/05,977.416
2/15/05,978.067
2/16/05,978.767
2/17/05,979.435
2/18/05,980.179
2/21/05,980.882
2/22/05,981.605
2/23/05,982.301
2/24/05,983.003
2/25/05,983.71
2/28/05,984.412
3/1/05,985.101
3/2/05,985.8
3/3/05,986.502
3/4/05,987.205
3/7/05,987.901
3/8/05,988.592
3/9/05,989.291
3/10/05,989.971
3/11/05,990.665
3/14/05,991.351
3/15/05,992.073
3/16/05,992.783
3/17/05,993.516
3/18/05,994.243
3/21/05,994.974
3/22/05,995.709
3/23/05,996.425
3/24/05,997.144
3/28/05,997.859
3/29/05,998.581
3/30/05,999.297
3/31/05,1000
4/1/05,1000.733
4/4/05,1001.437
4/5/05,1002.15
4/6/05,1002.858
4/7/05,1003.574
4/8/05,1004.294
4/11/05,1005.006
4/12/05,1005.725
4/13/05,1006.438
4/14/05,1007.155
4/15/05,1007.874
4/18/05,1008.582
4/19/05,1009.297
4/20/05,1010.001
4/22/05,1010.718
4/25/05,1011.448
4/26/05,1012.172
4/27/05,1012.889
4/28/05,1013.612
4/29/05,1014.338
5/2/05,1015.065
5/3/05,1015.782
5/4/05,1016.516
5/5/05,1017.236
5/6/05,1017.967
5/9/05,1018.699
5/10/05,1019.433
5/11/05,1020.168
5/12/05,1020.903
5/13/05,1021.637
5/16/05,1022.361
5/17/05,1023.099
5/18/05,1023.833
5/19/05,1024.578
5/20/05,1025.318
5/23/05,1026.06
5/24/05,1026.802
5/25/05,1027.54
5/27/05,1028.284
5/30/05,1029.024
5/31/05,1029.769
6/1/05,1030.524
6/2/05,1031.277
6/3/05,1032.032
6/6/05,1032.778
6/7/05,1033.524
6/8/05,1034.287
6/9/05,1035.017
6/10/05,1035.755
6/13/05,1036.516
6/14/05,1037.273
6/15/05,1038.044
6/16/05,1038.802
6/17/05,1039.577
6/20/05,1040.322
6/21/05,1041.072
6/22/05,1041.843
6/23/05,1042.592
6/24/05,1043.36
6/27/05,1044.12
6/28/05,1044.878
6/29/05,1045.677
6/30/05,1046.442
7/1/05,1047.204
7/4/05,1047.971
7/5/05,1048.751
7/6/05,1049.519
7/7/05,1050.307
7/8/05,1051.078
7/11/05,1051.856
7/12/05,1052.621
7/13/05,1053.394
7/14/05,1054.165
7/15/05,1054.93
7/18/05,1055.693
7/19/05,1056.472
7/20/05,1057.234
7/21/05,1057.985
7/22/05,1058.735
7/25/05,1059.495
7/26/05,1060.24
7/27/05,1060.982
7/28/05,1061.717
7/29/05,1062.457
8/1/05,1063.193
8/2/05,1063.946
8/3/05,1064.691
8/4/05,1065.454
8/5/05,1066.215
8/8/05,1066.973
8/9/05,1067.735
8/10/05,1068.503
8/11/05,1069.258
8/12/05,1070.005
8/15/05,1070.771
8/16/05,1071.541
8/17/05,1072.309
8/18/05,1073.071
8/19/05,1073.826
8/22/05,1074.585
8/23/05,1075.321
8/24/05,1076.094
8/25/05,1076.865
8/26/05,1077.655
8/29/05,1078.427
8/30/05,1079.204
8/31/05,1079.972
9/1/05,1080.757
9/2/05,1081.541
9/5/05,1082.318
9/6/05,1083.104
9/8/05,1083.886
9/9/05,1084.663
9/12/05,1085.486
9/13/05,1086.313
9/14/05,1087.09
9/15/05,1087.926
9/16/05,1088.711
9/19/05,1089.487
9/20/05,1090.258
9/21/05,1091.05
9/22/05,1091.828
9/23/05,1092.631
