Date,USDBRL
1/3/05,2.6759
1/4/05,2.719
1/5/05,2.714
1/6/05,2.7218
1/7/05,2.712
1/10/05,2.7035
1/11/05,2.7213
1/12/05,2.7065
1/13/05,2.704
1/14/05,2.7015
1/17/05,2.701
1/18/05,2.7195
1/19/05,2.71
1/20/05,2.7165
1/21/05,2.6869
1/24/05,2.6792
1/25/05,2.6815
1/26/05,2.6645
1/27/05,2.67
1/28/05,2.645
1/31/05,2.6088
2/1/05,2.61
2/2/05,2.6025
2/3/05,2.6018
2/4/05,2.613
2/7/05,2.6123
2/8/05,2.6315
2/9/05,2.6025
2/10/05,2.618
2/11/05,2.6045
2/14/05,2.579
2/15/05,2.5855
2/16/05,2.578
2/17/05,2.5665
2/18/05,2.5757
2/21/05,2.5845
2/22/05,2.6005
2/23/05,2.5945
2/24/05,2.6359
2/25/05,2.6183
2/28/05,2.5875
3/1/05,2.6275
3/2/05,2.639
3/3/05,2.681
3/4/05,2.656
3/7/05,2.6823
3/8/05,2.697
3/9/05,2.717
3/10/05,2.713
3/11/05,2.7168
3/14/05,2.7425
3/15/05,2.764
3/16/05,2.7623
3/17/05,2.7208
3/18/05,2.7145
3/21/05,2.725
3/22/05,2.7406
3/23/05,2.7489
3/24/05,2.7395
3/25/05,2.7395
3/28/05,2.7255
3/29/05,2.7
3/30/05,2.6755
3/31/05,2.679
4/1/05,2.6588
4/4/05,2.641
4/5/05,2.6297
4/6/05,2.6015
4/7/05,2.5931
4/8/05,2.585
4/11/05,2.5865
4/12/05,2.5668
4/13/05,2.561
4/14/05,2.5899
4/15/05,2.6148
4/18/05,2.607
4/19/05,2.5695
4/20/05,2.5636
4/21/05,2.55
4/22/05,2.5375
4/25/05,2.5243
4/26/05,2.536
4/27/05,2.5146
4/28/05,2.5425
4/29/05,2.528
5/2/05,2.5105
5/3/05,2.4887
5/4/05,2.4639
5/5/05,2.4625
5/6/05,2.457
5/9/05,2.4505
5/10/05,2.469
5/11/05,2.453
5/12/05,2.4713
5/13/05,2.4735
5/16/05,2.4755
5/17/05,2.4808
5/18/05,2.457
5/19/05,2.4408
5/20/05,2.4417
5/23/05,2.4259
5/24/05,2.4276
5/25/05,2.4088
5/26/05,2.4088
5/27/05,2.385
5/30/05,2.3678
5/31/05,2.4076
6/1/05,2.457
6/2/05,2.416
6/3/05,2.4255
6/6/05,2.4505
6/7/05,2.4565
6/8/05,2.462
6/9/05,2.4961
6/10/05,2.4733
6/13/05,2.444
6/14/05,2.4343
6/15/05,2.4233
6/16/05,2.4051
6/17/05,2.383
6/20/05,2.389
6/21/05,2.371
6/22/05,2.3851
6/23/05,2.4047
6/24/05,2.379
6/27/05,2.3751
6/28/05,2.3696
6/29/05,2.3525
6/30/05,2.3325
7/1/05,2.3565
7/4/05,2.3665
7/5/05,2.3773
7/6/05,2.3939
7/7/05,2.3773
7/8/05,2.3749
7/11/05,2.3405
7/12/05,2.3395
7/13/05,2.3556
7/14/05,2.336
7/15/05,2.3395
7/18/05,2.3352
7/19/05,2.343
7/20/05,2.3394
7/21/05,2.357
7/22/05,2.3963
7/25/05,2.487
7/26/05,2.431
7/27/05,2.4405
7/28/05,2.4081
7/29/05,2.3787
8/1/05,2.3693
8/2/05,2.339
8/3/05,2.3115
8/4/05,2.3038
8/5/05,2.3124
8/8/05,2.3289
8/9/05,2.2875
8/10/05,2.2783
8/11/05,2.3651
8/12/05,2.3732
8/15/05,2.333
8/16/05,2.347
8/17/05,2.3545
8/18/05,2.3976
8/19/05,2.4486
8/22/05,2.3731
8/23/05,2.4005
8/24/05,2.4528
8/25/05,2.4005
8/26/05,2.4025
8/29/05,2.3883
8/30/05,2.383
8/31/05,2.357
9/1/05,2.3561
9/2/05,2.3305
9/5/05,2.3341
9/6/05,2.324
9/7/05,2.3248
9/8/05,2.319
9/9/05,2.309
9/12/05,2.3189
9/13/05,2.333
9/14/05,2.3205
9/15/05,2.3005
9/16/05,2.2988
9/19/05,2.294
9/20/05,2.297
9/21/05,2.275
9/22/05,2.2748
9/23/05,2.2645
9/26/05,2.2486
9/27/05,2.2601
9/28/05,2.2272
9/29/05,2.214
9/30/05,2.2275
10/3/05,2.2365
10/4/05,2.2625
10/5/05,2.2678
10/6/05,2.2905
10/7/05,2.2499
10/10/05,2.2415
10/11/05,2.2335
10/12/05,2.2545
10/13/05,2.2685
10/14/05,2.245
10/17/05,2.236
10/18/05,2.242
10/19/05,2.2383
10/20/05,2.2595
10/21/05,2.265
10/24/05,2.261
10/25/05,2.2635
10/26/05,2.2868
10/27/05,2.2895
10/28/05,2.265
10/31/05,2.2518
11/1/05,2.243
11/2/05,2.2385
11/3/05,2.222
11/4/05,2.212
11/7/05,2.2065
11/8/05,2.1935
11/9/05,2.1755
11/10/05,2.1635
11/11/05,2.1615
11/14/05,2.209
11/15/05,2.2095
11/16/05,2.2015
11/17/05,2.1945
11/18/05,2.226
11/21/05,2.22
11/22/05,2.248
11/23/05,2.239
11/24/05,2.2405
11/25/05,2.234
11/28/05,2.198
11/29/05,2.1873
11/30/05,2.2035
12/1/05,2.2248
12/2/05,2.2088
12/5/05,2.1952
12/6/05,2.1755
12/7/05,2.1945
12/8/05,2.2223
12/9/05,2.252
12/12/05,2.261
12/13/05,2.2615
12/14/05,2.2695
12/15/05,2.3085
12/16/05,2.337
12/19/05,2.38
12/20/05,2.3475
12/21/05,2.308
12/22/05,2.341
12/23/05,2.315
12/26/05,2.341
12/27/05,2.337
12/28/05,2.341
12/29/05,2.3258
12/30/05,2.3355
1/2/06,2.3364
1/3/06,2.3315
1/4/06,2.286
1/5/06,2.2897
1/6/06,2.283
1/9/06,2.2535
1/10/06,2.2618
1/11/06,2.2798
1/12/06,2.2756
1/13/06,2.2725
1/16/06,2.2715
1/17/06,2.3035
1/18/06,2.3165
1/19/06,2.2888
1/20/06,2.2775
1/23/06,2.257
1/24/06,2.241
1/25/06,2.2428
1/26/06,2.229
1/27/06,2.21
1/30/06,2.2125
1/31/06,2.212
2/1/06,2.225
2/2/06,2.2265
2/3/06,2.21
2/6/06,2.1755
2/7/06,2.1905
2/8/06,2.1863
2/9/06,2.17
2/10/06,2.1615
2/13/06,2.1545
2/14/06,2.138
2/15/06,2.136
2/16/06,2.116
2/17/06,2.1175
2/20/06,2.1175
2/21/06,2.166
2/22/06,2.141
2/23/06,2.1335
2/24/06,2.14
2/27/06,2.1405
2/28/06,2.1235
3/1/06,2.1155
3/2/06,2.104
3/3/06,2.11
3/6/06,2.1475
3/7/06,2.142
3/8/06,2.18
3/9/06,2.1618
3/10/06,2.1373
3/13/06,2.134
3/14/06,2.124
3/15/06,2.1157
3/16/06,2.1135
3/17/06,2.124
3/20/06,2.147
3/21/06,2.171
3/22/06,2.1539
3/23/06,2.1615
3/24/06,2.158
3/27/06,2.174
3/28/06,2.241
3/29/06,2.2142
3/30/06,2.187
3/31/06,2.164
4/3/06,2.1407
4/4/06,2.1404
4/5/06,2.1378
4/6/06,2.133
4/7/06,2.149
4/10/06,2.155
4/11/06,2.131
4/12/06,2.1364
4/13/06,2.138
4/14/06,2.138
4/17/06,2.1374
4/18/06,2.1155
4/19/06,2.1147
4/20/06,2.12
4/21/06,2.1215
4/24/06,2.114
4/25/06,2.1305
4/26/06,2.119
4/27/06,2.1015
4/28/06,2.087
5/1/06,2.08
5/2/06,2.0618
5/3/06,2.0761
5/4/06,2.0703
5/5/06,2.0555
5/8/06,2.074
5/9/06,2.059
5/10/06,2.0743
5/11/06,2.0981
5/12/06,2.1445
5/15/06,2.1665
5/16/06,2.136
5/17/06,2.2095
5/18/06,2.1805
5/19/06,2.209
5/22/06,2.298
5/23/06,2.3525
5/24/06,2.3275
5/25/06,2.278
5/26/06,2.2415
5/29/06,2.293
5/30/06,2.3125
5/31/06,2.307
6/1/06,2.2451
6/2/06,2.2766
6/5/06,2.2645
6/6/06,2.242
6/7/06,2.2545
6/8/06,2.2585
6/9/06,2.2592
6/12/06,2.289
6/13/06,2.3096
6/14/06,2.281
6/15/06,2.2635
6/16/06,2.245
6/19/06,2.2603
6/20/06,2.2355
6/21/06,2.2268
6/22/06,2.239
6/23/06,2.2315
6/26/06,2.241
6/27/06,2.2405
6/28/06,2.22
6/29/06,2.1775
6/30/06,2.165
7/3/06,2.1685
7/4/06,2.17
7/5/06,2.208
7/6/06,2.177
7/7/06,2.182
7/10/06,2.1789
7/11/06,2.183
7/12/06,2.2025
7/13/06,2.2244
7/14/06,2.212
7/17/06,2.2016
7/18/06,2.191
7/19/06,2.1765
7/20/06,2.1911
7/21/06,2.1988
7/24/06,2.1896
7/25/06,2.2005
7/26/06,2.195
7/27/06,2.1922
7/28/06,2.1754
7/31/06,2.177
8/1/06,2.191
8/2/06,2.1821
8/3/06,2.176
8/4/06,2.1814
8/7/06,2.1851
8/8/06,2.1714
8/9/06,2.1663
8/10/06,2.1565
8/11/06,2.166
8/14/06,2.1635
8/15/06,2.1434
8/16/06,2.1409
8/17/06,2.1415
8/18/06,2.1469
8/21/06,2.1286
8/22/06,2.1341
8/23/06,2.1515
8/24/06,2.1526
8/25/06,2.156
8/28/06,2.1404
8/29/06,2.1369
8/30/06,2.1365
8/31/06,2.145
9/1/06,2.139
9/4/06,2.123
9/5/06,2.1386
9/6/06,2.15
9/7/06,2.1524
9/8/06,2.158
9/11/06,2.1854
9/12/06,2.1683
9/13/06,2.1602
9/14/06,2.16
9/15/06,2.151
9/18/06,2.1467
9/19/06,2.1591
9/20/06,2.1759
9/21/06,2.212
9/22/06,2.2075
9/25/06,2.2203
9/26/06,2.1871
9/27/06,2.1862
9/28/06,2.17
9/29/06,2.169
10/2/06,2.1565
10/3/06,2.1754
10/4/06,2.1639
10/5/06,2.1635
10/6/06,2.162
10/9/06,2.1552
10/10/06,2.1553
10/11/06,2.159
10/12/06,2.1581
10/13/06,2.1371
10/16/06,2.1294
10/17/06,2.1315
10/18/06,2.1371
10/19/06,2.1409
10/20/06,2.1402
10/23/06,2.1392
10/24/06,2.1502
10/25/06,2.1442
10/26/06,2.1402
10/27/06,2.1336
10/30/06,2.1494
10/31/06,2.1418
11/1/06,2.1443
11/2/06,2.1443
11/3/06,2.139
11/6/06,2.1372
11/7/06,2.1379
11/8/06,2.1445
11/9/06,2.1415
11/10/06,2.1514
11/13/06,2.1688
11/14/06,2.148
11/15/06,2.147
11/16/06,2.1528
11/17/06,2.1605
11/20/06,2.16
11/21/06,2.1632
11/22/06,2.166
11/23/06,2.1685
11/24/06,2.1691
11/27/06,2.1912
11/28/06,2.1868
11/29/06,2.1686
11/30/06,2.1649
