Date,Open,High,Low,Close,Volume,Adj Close
2016-09-19,14.25,14.47,14.10,14.25,21335500,14.25
2016-09-16,14.01,14.19,13.83,13.95,24794700,13.95
2016-09-15,14.20,14.35,14.04,14.15,11451100,14.15
2016-09-14,14.08,14.36,13.94,14.13,19731300,14.13
2016-09-13,14.53,14.61,13.81,13.82,24807000,13.82
2016-09-12,14.36,14.88,14.22,14.85,25312500,14.85
2016-09-09,15.00,15.04,14.48,14.49,22280800,14.49
2016-09-08,15.32,15.49,15.15,15.21,19947100,15.21
2016-09-07,15.44,15.44,15.44,15.44,000,15.44
2016-09-06,15.15,15.44,14.94,15.44,18316700,15.44
2016-09-05,15.55,15.60,15.12,15.12,13203800,15.12
2016-09-02,15.04,15.53,15.03,15.49,16447600,15.49
2016-09-01,14.65,14.91,14.52,14.90,21748500,14.90
2016-08-31,15.07,15.07,14.47,14.47,35857600,14.47
2016-08-30,15.30,15.53,15.06,15.12,18943500,15.12
2016-08-29,15.14,15.58,15.03,15.43,12232000,15.43
2016-08-26,15.50,15.78,15.00,15.07,22574900,15.07
2016-08-25,15.36,15.65,15.34,15.41,17769100,15.41
2016-08-24,15.69,15.78,15.23,15.30,23290500,15.30
2016-08-23,15.85,16.18,15.78,15.81,20804100,15.81
2016-08-22,15.95,16.03,15.56,15.57,20539900,15.57
2016-08-19,16.06,16.25,15.85,16.17,12856500,16.17
2016-08-18,16.14,16.29,15.91,15.96,16590500,15.96
2016-08-17,16.00,16.15,15.77,16.12,20504400,16.12
2016-08-16,16.09,16.34,16.03,16.10,17658400,16.10
2016-08-15,15.63,15.92,15.46,15.92,19487000,15.92
2016-08-12,15.59,15.81,15.41,15.44,23278200,15.44
2016-08-11,15.40,15.79,15.23,15.75,21550600,15.75
2016-08-10,16.00,16.00,15.38,15.40,29686600,15.40
2016-08-09,15.77,16.09,15.76,15.99,19972600,15.99
2016-08-08,15.75,15.89,15.56,15.74,13593000,15.74
2016-08-05,15.75,15.80,15.50,15.62,16295700,15.62
2016-08-04,15.26,15.66,15.12,15.48,31811000,15.48
2016-08-03,14.65,15.48,14.47,15.47,28551800,15.47
2016-08-02,14.63,14.97,14.37,14.66,17611500,14.66
2016-08-01,15.25,15.42,14.55,14.55,18992500,14.55
2016-07-29,14.79,15.01,14.59,15.01,20896600,15.01
2016-07-28,15.38,15.38,14.71,14.96,25954600,14.96
2016-07-27,14.81,15.23,14.80,15.08,25479600,15.08
2016-07-26,14.15,14.69,14.09,14.59,26646300,14.59
2016-07-25,14.18,14.18,13.88,13.99,12996000,13.99
2016-07-22,14.00,14.05,13.73,13.94,14987000,13.94
2016-07-21,13.90,14.24,13.83,14.04,29788800,14.04
2016-07-20,13.65,13.86,13.41,13.63,20304100,13.63
2016-07-19,13.75,13.87,13.53,13.68,29052800,13.68
